step,time,frac,itm_count,replication,scenario
43,0.86,0.3,839,5,B2_fixed
42,0.84,0.3,831,5,B2_fixed
41,0.8200000000000001,0.3,818,5,B2_fixed
40,0.8,0.3,840,5,B2_fixed
39,0.78,0.3,828,5,B2_fixed
38,0.76,0.3,829,5,B2_fixed
37,0.74,0.3,826,5,B2_fixed
36,0.72,0.3,838,5,B2_fixed
35,0.7000000000000001,0.3,852,5,B2_fixed
34,0.68,0.3,856,5,B2_fixed
33,0.66,0.3,867,5,B2_fixed
32,0.64,0.3,862,5,B2_fixed
31,0.62,0.3,867,5,B2_fixed
30,0.6,0.3,865,5,B2_fixed
29,0.58,0.3,868,5,B2_fixed
28,0.56,0.3,895,5,B2_fixed
27,0.54,0.3,877,5,B2_fixed
26,0.52,0.3,885,5,B2_fixed
25,0.5,0.3,888,5,B2_fixed
24,0.48,0.3,883,5,B2_fixed
23,0.46,0.3,865,5,B2_fixed
22,0.44,0.3,868,5,B2_fixed
21,0.42,0.3,876,5,B2_fixed
20,0.4,0.3,889,5,B2_fixed
19,0.38,0.3,876,5,B2_fixed
18,0.36,0.3,892,5,B2_fixed
17,0.34,0.3,900,5,B2_fixed
16,0.32,0.3,897,5,B2_fixed
15,0.3,0.3,888,5,B2_fixed
14,0.28,0.3,910,5,B2_fixed
13,0.26,0.3,905,5,B2_fixed
12,0.24,0.3,928,5,B2_fixed
11,0.22,0.3,945,5,B2_fixed
10,0.2,0.3,937,5,B2_fixed
9,0.18,0.3,940,5,B2_fixed
8,0.16,0.3,949,5,B2_fixed
7,0.14,0.3,972,5,B2_fixed
6,0.12,0.3,962,5,B2_fixed
5,0.1,0.3,951,5,B2_fixed
4,0.08,0.3,917,5,B2_fixed
3,0.06,0.3,967,5,B2_fixed
2,0.04,0.3,951,5,B2_fixed
1,0.02,0.3,961,5,B2_fixed
49,0.98,0.12,839,5,B2_cv
48,0.96,0.3,834,5,B2_cv
47,0.9400000000000001,0.3,825,5,B2_cv
46,0.92,0.3,834,5,B2_cv
45,0.9,0.3,831,5,B2_cv
44,0.88,0.3,824,5,B2_cv
43,0.86,0.3,839,5,B2_cv
42,0.84,0.3,831,5,B2_cv
41,0.8200000000000001,0.3,818,5,B2_cv
40,0.8,0.3,840,5,B2_cv
39,0.78,0.2,828,5,B2_cv
38,0.76,0.2,829,5,B2_cv
37,0.74,0.3,826,5,B2_cv
36,0.72,0.2,838,5,B2_cv
35,0.7000000000000001,0.3,852,5,B2_cv
34,0.68,0.3,856,5,B2_cv
33,0.66,0.3,867,5,B2_cv
32,0.64,0.3,862,5,B2_cv
31,0.62,0.3,867,5,B2_cv
30,0.6,0.3,865,5,B2_cv
29,0.58,0.3,868,5,B2_cv
28,0.56,0.3,895,5,B2_cv
27,0.54,0.12,877,5,B2_cv
26,0.52,0.3,885,5,B2_cv
25,0.5,0.3,888,5,B2_cv
24,0.48,0.3,883,5,B2_cv
23,0.46,0.3,865,5,B2_cv
22,0.44,0.3,868,5,B2_cv
21,0.42,0.2,876,5,B2_cv
20,0.4,0.3,889,5,B2_cv
19,0.38,0.3,876,5,B2_cv
18,0.36,0.3,892,5,B2_cv
17,0.34,0.3,900,5,B2_cv
16,0.32,0.3,897,5,B2_cv
15,0.3,0.3,888,5,B2_cv
14,0.28,0.3,910,5,B2_cv
13,0.26,0.3,905,5,B2_cv
12,0.24,0.3,928,5,B2_cv
11,0.22,0.2,945,5,B2_cv
10,0.2,0.3,937,5,B2_cv
9,0.18,0.3,940,5,B2_cv
8,0.16,0.3,949,5,B2_cv
7,0.14,0.3,972,5,B2_cv
6,0.12,0.3,962,5,B2_cv
5,0.1,0.3,951,5,B2_cv
4,0.08,0.3,917,5,B2_cv
3,0.06,0.2,967,5,B2_cv
2,0.04,0.2,951,5,B2_cv
1,0.02,0.12,961,5,B2_cv
